case_unit_id,suite,user_task_id,injection_task_id,身份与官方goal_task,官方descriptor及哈希,released_runner_dispatch,selected_evaluator源码,evaluator传递闭包,state_schema,artifact_inventory,native_wiring及aggregation区分,stronger及conflict边界,逐文件完整性,official_file_count,derived_lock_inventory_count,raw_file_count,case_packet_bytes,修复前issue_codes,修复后issue_codes,总体结论,packet_path
v1.2.2:workspace:user_task_16:injection_task_12,workspace,user_task_16,injection_task_12,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,307728,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;USER_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_16_injection_task_12/case_packet.md
v1.2.2:workspace:user_task_16:injection_task_13,workspace,user_task_16,injection_task_13,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,321723,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;USER_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_16_injection_task_13/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_0,workspace,user_task_17,injection_task_0,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,320322,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_0/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_1,workspace,user_task_17,injection_task_1,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,319500,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_1/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_2,workspace,user_task_17,injection_task_2,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,320633,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_2/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_3,workspace,user_task_17,injection_task_3,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,328094,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_3/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_4,workspace,user_task_17,injection_task_4,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,321301,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_4/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_5,workspace,user_task_17,injection_task_5,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,321034,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_5/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_6,workspace,user_task_17,injection_task_6,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,327329,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_6/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_7,workspace,user_task_17,injection_task_7,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,327963,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_7/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_9,workspace,user_task_17,injection_task_9,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,328944,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_9/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_10,workspace,user_task_17,injection_task_10,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,327167,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_10/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_11,workspace,user_task_17,injection_task_11,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,314473,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_11/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_12,workspace,user_task_17,injection_task_12,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,315272,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_12/case_packet.md
v1.2.2:workspace:user_task_17:injection_task_13,workspace,user_task_17,injection_task_13,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,329267,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_17_injection_task_13/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_1,workspace,user_task_22,injection_task_1,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,318612,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_1/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_2,workspace,user_task_22,injection_task_2,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,319745,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_2/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_3,workspace,user_task_22,injection_task_3,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,327206,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_3/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_4,workspace,user_task_22,injection_task_4,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,320413,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_4/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_5,workspace,user_task_22,injection_task_5,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,320146,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_5/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_6,workspace,user_task_22,injection_task_6,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,326441,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_6/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_7,workspace,user_task_22,injection_task_7,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,327075,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_7/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_8,workspace,user_task_22,injection_task_8,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,327042,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_8/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_9,workspace,user_task_22,injection_task_9,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,328056,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_9/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_10,workspace,user_task_22,injection_task_10,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,326279,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_10/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_11,workspace,user_task_22,injection_task_11,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,313585,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_11/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_12,workspace,user_task_22,injection_task_12,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,314384,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_12/case_packet.md
v1.2.2:workspace:user_task_22:injection_task_13,workspace,user_task_22,injection_task_13,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,26,6,32,328379,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_22_injection_task_13/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_1,workspace,user_task_24,injection_task_1,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,309053,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_1/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_2,workspace,user_task_24,injection_task_2,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,310186,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_2/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_3,workspace,user_task_24,injection_task_3,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,317647,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_3/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_6,workspace,user_task_24,injection_task_6,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,316882,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_6/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_7,workspace,user_task_24,injection_task_7,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,317516,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_7/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_8,workspace,user_task_24,injection_task_8,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,317483,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_8/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_9,workspace,user_task_24,injection_task_9,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,318497,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE;INJECTION_EVALUATOR_HELPER_SOURCE_MISSING,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_9/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_10,workspace,user_task_24,injection_task_10,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,316720,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_10/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_11,workspace,user_task_24,injection_task_11,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,304026,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_11/case_packet.md
v1.2.2:workspace:user_task_24:injection_task_13,workspace,user_task_24,injection_task_13,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,25,6,31,318820,OFFICIAL_SOURCE_CONTENT_NOT_MATERIALIZED;NATIVE_RUNNER_AND_AGGREGATION_NOT_IN_PACKET;STATE_SCHEMA_DESCRIPTOR_ONLY;POSTRUN_ARTIFACT_INVENTORY_ABSENT;STRONGER_SPLIT_NOT_RELIABLY_DERIVABLE,,符合设计，可作为重新draft前的锁定输入,/Users/gss/Downloads/revised_agent_benchmark_paper_package/experiments/agentdojo_full_v1.2.2_direct/case_packets/agentdojo/v1.2.2_workspace_user_task_24_injection_task_13/case_packet.md
