cell_id,table_id,paper_label,row_id,column_id,expected_value,rebuilt_value,status,expected_source,normalization_rule
table2:androidworld::all:evidence_counts,table2,tab:main-results-A,androidworld::all,evidence_counts,13/28/41,13/28/41,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:meaning,table2,tab:main-results-A,androidworld::all,meaning,Missing mobile post-state creates wide bounds; sampled recipe task exposes target-set false successes.,Missing mobile post-state creates wide bounds; sampled recipe task exposes target-set false successes.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:n,table2,tab:main-results-A,androidworld::all,n,82,82,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:native_score,table2,tab:main-results-A,androidworld::all,native_score,61.0%,61.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:unknown_share,table2,tab:main-results-A,androidworld::all,unknown_share,50.0%,50.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:benchmark,table2,tab:main-results-A,appworld::agent_a,benchmark,OpenAI GPT-5.4,OpenAI GPT-5.4,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:benchmark_conflicts,table2,tab:main-results-A,appworld::agent_a,benchmark_conflicts,0,0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:bound,table2,tab:main-results-A,appworld::agent_a,bound,"[69.0%, 69.0%]","[69.0%, 69.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:evidence_counts,table2,tab:main-results-A,appworld::agent_a,evidence_counts,69/31/0,69/31/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:meaning,table2,tab:main-results-A,appworld::agent_a,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:n,table2,tab:main-results-A,appworld::agent_a,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:native_score,table2,tab:main-results-A,appworld::agent_a,native_score,69.0%,69.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_a:unknown_share,table2,tab:main-results-A,appworld::agent_a,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:benchmark,table2,tab:main-results-A,appworld::agent_b,benchmark,Claude 4.7,Claude 4.7,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:benchmark_conflicts,table2,tab:main-results-A,appworld::agent_b,benchmark_conflicts,0,0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:bound,table2,tab:main-results-A,appworld::agent_b,bound,"[79.0%, 79.0%]","[79.0%, 79.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:evidence_counts,table2,tab:main-results-A,appworld::agent_b,evidence_counts,79/21/0,79/21/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:meaning,table2,tab:main-results-A,appworld::agent_b,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:n,table2,tab:main-results-A,appworld::agent_b,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:native_score,table2,tab:main-results-A,appworld::agent_b,native_score,79.0%,79.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_b:unknown_share,table2,tab:main-results-A,appworld::agent_b,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:benchmark,table2,tab:main-results-A,appworld::agent_c,benchmark,DeepSeek V4 Pro,DeepSeek V4 Pro,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:benchmark_conflicts,table2,tab:main-results-A,appworld::agent_c,benchmark_conflicts,0,0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:bound,table2,tab:main-results-A,appworld::agent_c,bound,"[72.0%, 72.0%]","[72.0%, 72.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:evidence_counts,table2,tab:main-results-A,appworld::agent_c,evidence_counts,72/28/0,72/28/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:meaning,table2,tab:main-results-A,appworld::agent_c,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:n,table2,tab:main-results-A,appworld::agent_c,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:native_score,table2,tab:main-results-A,appworld::agent_c,native_score,72.0%,72.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::agent_c:unknown_share,table2,tab:main-results-A,appworld::agent_c,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:benchmark,table2,tab:main-results-A,appworld::all,benchmark,AppWorld,AppWorld,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:benchmark_conflicts,table2,tab:main-results-A,appworld::all,benchmark_conflicts,0,0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:bound,table2,tab:main-results-A,appworld::all,bound,"[73.3%, 73.3%]","[73.3%, 73.3%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:evidence_counts,table2,tab:main-results-A,appworld::all,evidence_counts,220/80/0,220/80/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:meaning,table2,tab:main-results-A,appworld::all,meaning,Native claim supported after audit; stronger layer records oracle blind spots.,Native claim supported after audit; stronger layer records oracle blind spots.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:n,table2,tab:main-results-A,appworld::all,n,300,300,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:native_score,table2,tab:main-results-A,appworld::all,native_score,73.3%,73.3%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:appworld::all:unknown_share,table2,tab:main-results-A,appworld::all,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:benchmark,table2,tab:main-results-A,miniwob::agent_a,benchmark,OpenAI GPT-5.4,OpenAI GPT-5.4,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:benchmark_conflicts,table2,tab:main-results-A,miniwob::agent_a,benchmark_conflicts,1,1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:bound,table2,tab:main-results-A,miniwob::agent_a,bound,"[38.0%, 38.0%]","[38.0%, 38.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:evidence_counts,table2,tab:main-results-A,miniwob::agent_a,evidence_counts,38/62/0,38/62/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:meaning,table2,tab:main-results-A,miniwob::agent_a,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:n,table2,tab:main-results-A,miniwob::agent_a,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:native_score,table2,tab:main-results-A,miniwob::agent_a,native_score,39.0%,39.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_a:unknown_share,table2,tab:main-results-A,miniwob::agent_a,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:benchmark,table2,tab:main-results-A,miniwob::agent_b,benchmark,Claude 4.7,Claude 4.7,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:benchmark_conflicts,table2,tab:main-results-A,miniwob::agent_b,benchmark_conflicts,1,1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:bound,table2,tab:main-results-A,miniwob::agent_b,bound,"[41.0%, 41.0%]","[41.0%, 41.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:evidence_counts,table2,tab:main-results-A,miniwob::agent_b,evidence_counts,41/59/0,41/59/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:meaning,table2,tab:main-results-A,miniwob::agent_b,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:n,table2,tab:main-results-A,miniwob::agent_b,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:native_score,table2,tab:main-results-A,miniwob::agent_b,native_score,42.0%,42.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_b:unknown_share,table2,tab:main-results-A,miniwob::agent_b,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:benchmark,table2,tab:main-results-A,miniwob::agent_c,benchmark,DeepSeek V4 Pro,DeepSeek V4 Pro,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:benchmark_conflicts,table2,tab:main-results-A,miniwob::agent_c,benchmark_conflicts,0,0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:bound,table2,tab:main-results-A,miniwob::agent_c,bound,"[39.0%, 39.0%]","[39.0%, 39.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:evidence_counts,table2,tab:main-results-A,miniwob::agent_c,evidence_counts,39/61/0,39/61/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:meaning,table2,tab:main-results-A,miniwob::agent_c,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:n,table2,tab:main-results-A,miniwob::agent_c,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:native_score,table2,tab:main-results-A,miniwob::agent_c,native_score,39.0%,39.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::agent_c:unknown_share,table2,tab:main-results-A,miniwob::agent_c,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:benchmark,table2,tab:main-results-A,miniwob::all,benchmark,MiniWoB,MiniWoB,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:benchmark_conflicts,table2,tab:main-results-A,miniwob::all,benchmark_conflicts,2,2,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:bound,table2,tab:main-results-A,miniwob::all,bound,"[39.3%, 39.3%]","[39.3%, 39.3%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:evidence_counts,table2,tab:main-results-A,miniwob::all,evidence_counts,118/182/0,118/182/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:meaning,table2,tab:main-results-A,miniwob::all,meaning,"Mostly decidable, but benchmark conflicts and stronger checks expose weak interaction proxies.","Mostly decidable, but benchmark conflicts and stronger checks expose weak interaction proxies.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:n,table2,tab:main-results-A,miniwob::all,n,300,300,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:native_score,table2,tab:main-results-A,miniwob::all,native_score,40.0%,40.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:miniwob::all:unknown_share,table2,tab:main-results-A,miniwob::all,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:benchmark,table2,tab:main-results-A,tau3_retail::agent_a,benchmark,OpenAI GPT-5.4,OpenAI GPT-5.4,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:benchmark_conflicts,table2,tab:main-results-A,tau3_retail::agent_a,benchmark_conflicts,9,9,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:bound,table2,tab:main-results-A,tau3_retail::agent_a,bound,"[67.0%, 67.0%]","[67.0%, 67.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:evidence_counts,table2,tab:main-results-A,tau3_retail::agent_a,evidence_counts,67/33/0,67/33/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:meaning,table2,tab:main-results-A,tau3_retail::agent_a,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:n,table2,tab:main-results-A,tau3_retail::agent_a,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:native_score,table2,tab:main-results-A,tau3_retail::agent_a,native_score,72.0%,72.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_a:unknown_share,table2,tab:main-results-A,tau3_retail::agent_a,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:benchmark,table2,tab:main-results-A,tau3_retail::agent_b,benchmark,Claude 4.7,Claude 4.7,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:benchmark_conflicts,table2,tab:main-results-A,tau3_retail::agent_b,benchmark_conflicts,6,6,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:bound,table2,tab:main-results-A,tau3_retail::agent_b,bound,"[84.0%, 85.0%]","[84.0%, 85.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:evidence_counts,table2,tab:main-results-A,tau3_retail::agent_b,evidence_counts,84/15/1,84/15/1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:meaning,table2,tab:main-results-A,tau3_retail::agent_b,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:n,table2,tab:main-results-A,tau3_retail::agent_b,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:native_score,table2,tab:main-results-A,tau3_retail::agent_b,native_score,91.0%,91.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_b:unknown_share,table2,tab:main-results-A,tau3_retail::agent_b,unknown_share,1.0%,1.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:benchmark,table2,tab:main-results-A,tau3_retail::agent_c,benchmark,DeepSeek V4 Pro,DeepSeek V4 Pro,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:benchmark_conflicts,table2,tab:main-results-A,tau3_retail::agent_c,benchmark_conflicts,9,9,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:bound,table2,tab:main-results-A,tau3_retail::agent_c,bound,"[61.0%, 61.0%]","[61.0%, 61.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:evidence_counts,table2,tab:main-results-A,tau3_retail::agent_c,evidence_counts,61/39/0,61/39/0,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:meaning,table2,tab:main-results-A,tau3_retail::agent_c,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:n,table2,tab:main-results-A,tau3_retail::agent_c,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:native_score,table2,tab:main-results-A,tau3_retail::agent_c,native_score,68.0%,68.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::agent_c:unknown_share,table2,tab:main-results-A,tau3_retail::agent_c,unknown_share,0.0%,0.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:benchmark,table2,tab:main-results-A,tau3_retail::all,benchmark,τ³,τ³,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:benchmark_conflicts,table2,tab:main-results-A,tau3_retail::all,benchmark_conflicts,24,24,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:bound,table2,tab:main-results-A,tau3_retail::all,bound,"[70.7%, 71.0%]","[70.7%, 71.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:evidence_counts,table2,tab:main-results-A,tau3_retail::all,evidence_counts,212/87/1,212/87/1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:meaning,table2,tab:main-results-A,tau3_retail::all,meaning,"Reward/action mismatch: scalar rewards accept failed required actions, wrong state, or inconsistent DB criteria.","Reward/action mismatch: scalar rewards accept failed required actions, wrong state, or inconsistent DB criteria.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:n,table2,tab:main-results-A,tau3_retail::all,n,300,300,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:native_score,table2,tab:main-results-A,tau3_retail::all,native_score,77.0%,77.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:tau3_retail::all:unknown_share,table2,tab:main-results-A,tau3_retail::all,unknown_share,0.3%,0.3%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table3:__header__:benchmark,table3,tab:main-results-C,__header__,benchmark,Benchmark,Benchmark,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
